algorithm, solution, depth, cost, expanded_nodes, visited_nodes, average_branching_factor, execution_time, result, n
UCS, 'Kellyberg'->'Michaelbury'->'PortTroyburgh'->'Lisatown', 3, 204.486, 108, 25, 4.32, 0.002167026000279293, success, 25
Greedy, 'Kellyberg'->'Shawnside'->'LakeGabriela'->'WestJenniferburgh'->'Frenchmouth'->'PortJoshua'->'Waltonstad'->'PortTroyburgh'->'Lisatown', 8, 355.414, 8, 9, 4.875, 0.0002434170000924496, success, 25
Astar, 'Kellyberg'->'Michaelbury'->'PortTroyburgh'->'Lisatown', 3, 204.486, 20, 24, 2.5, 0.00040991900004883064, success, 25
IDAstar, 'Kellyberg'->'Hodgetown'->'Michaelbury'->'PortTroyburgh'->'Lisatown', 4, 234.41699999999997, 4, 6, 1.0, 0.0031934409998939373, success, 25
Backtracking, 'Nicholaschester'->'NewRichard'->'Evansmouth'->'NorthThomasview'->'Barberchester'->'EastKevin'->'Debbietown'->'Seanfurt'->'Aliciahaven'->'Grantland'->'Jacquelineview'->'Laneport'->'Cruzshire'->'Mariahton'->'Heatherton'->'Millerhaven'->'SouthVictoria', 16, 650.562, 22, 23, 1.0, 0.00028810000003431924, success, 25
BFS, 'Nicholaschester'->'NorthThomasview'->'Seanfurt'->'Millerhaven'->'SouthVictoria', 4, 369.141, 18, 24, 4.5, 0.0001409639999110368, success, 25
DFS, 'Nicholaschester'->'WestJodihaven'->'NorthThomasview'->'PortAngel'->'EastKevin'->'Barberchester'->'NewLori'->'Debbietown'->'Seanfurt'->'Grantland'->'Aliciahaven'->'Jacquelineview'->'Laneport'->'Cruzshire'->'Mariahton'->'Stevenfurt'->'Walkerburgh'->'NewJustinborough'->'Casebury'->'PortSandra'->'Millerhaven'->'Heatherton'->'SouthVictoria', 22, 631.7040000000001, 24, 25, 4.375, 0.00021917199956078548, success, 25
UCS, 'Nicholaschester'->'NorthThomasview'->'NewRichard'->'PortSandra'->'Millerhaven'->'Heatherton'->'SouthVictoria', 6, 194.761, 108, 25, 4.32, 0.0013940950002506725, success, 25
Greedy, 'Nicholaschester'->'WestJodihaven'->'Evansmouth'->'NewRichard'->'PortSandra'->'Millerhaven'->'SouthVictoria', 6, 242.023, 6, 7, 4.333333333333333, 0.0002710090002437937, success, 25
Astar, 'Nicholaschester'->'NorthThomasview'->'NewRichard'->'PortSandra'->'Millerhaven'->'Heatherton'->'SouthVictoria', 6, 194.761, 21, 25, 2.5238095238095237, 0.000418645000536344, success, 25
IDAstar, 'Nicholaschester'->'NewRichard'->'PortSandra'->'Casebury'->'Millerhaven'->'SouthVictoria', 5, 242.252, 7, 12, 1.0, 0.0010536569998293999, success, 25
Backtracking, 'PortAllisonland'->'Matthewview'->'Donaldfort'->'PortLisatown'->'WestAshley'->'WestLeahfurt'->'Wanghaven'->'Bakerland'->'Vasquezberg'->'Edwardton'->'NewDonaldside'->'Evansville'->'Danaton'->'Silvaberg'->'EastMartin', 14, 3666.9489999999996, 15, 16, 1.0, 0.00013232799938123208, success, 50
BFS, 'PortAllisonland'->'Matthewview'->'Silvaberg'->'EastMartin', 3, 1896.189, 9, 23, 4.222222222222222, 6.538200068462174e-05, success, 50
DFS, 'PortAllisonland'->'Matthewview'->'WestLeahfurt'->'Wanghaven'->'Vasquezberg'->'Schwartzland'->'Evansville'->'Danaton'->'Silvaberg'->'EastMartin', 9, 2561.4049999999997, 16, 14, 3.75, 8.749399967200588e-05, success, 50
UCS, 'PortAllisonland'->'Matthewview'->'WestLeahfurt'->'Wanghaven'->'Vasquezberg'->'Schwartzland'->'SouthRose'->'Silvaberg'->'EastMartin', 8, 1771.638, 172, 50, 3.44, 0.00204081900028541, success, 50
Greedy, 'PortAllisonland'->'Matthewview'->'Silvaberg'->'EastMartin', 3, 1896.189, 3, 4, 3.6666666666666665, 9.16520002647303e-05, success, 50
Astar, 'PortAllisonland'->'Matthewview'->'WestLeahfurt'->'Wanghaven'->'Vasquezberg'->'Schwartzland'->'SouthRose'->'Silvaberg'->'EastMartin', 8, 1771.6380000000001, 14, 21, 2.142857142857143, 0.00023113399947760627, success, 50
IDAstar, 'PortAllisonland'->'Matthewview'->'Silvaberg'->'EastMartin', 3, 1896.1890000000003, 6, 10, 1.0, 0.0005250150006759213, success, 50
Backtracking, 'Kevinfort'->'Brandonmouth'->'Baileyhaven'->'EastSarahshire'->'Colemanmouth'->'Clementsmouth'->'LakeSonya'->'Dawnborough'->'Andrewfurt'->'NewFelicia'->'PortMichaelland'->'Alisonton'->'NewSheryltown'->'LakeJacquelinemouth'->'Lisafurt'->'NorthDennishaven'->'Pennystad'->'NorthJamesville'->'SouthDarren'->'Danielsburgh'->'Shannonbury'->'WestNatalie', 21, 5966.893, 36, 37, 1.0, 0.0004624880002666032, success, 50
BFS, 'Kevinfort'->'Brandonmouth'->'Baileyhaven'->'EastSarahshire'->'Colemanmouth'->'NewSheryltown'->'Shannonbury'->'WestNatalie', 7, 2661.732, 47, 50, 3.4680851063829787, 0.00027177000083611347, success, 50
DFS, 'Kevinfort'->'Martinezland'->'EastBrett'->'Brandonmouth'->'Baileyhaven'->'EastSarahshire'->'Colemanmouth'->'Millerburgh'->'Andrewfurt'->'Dawnborough'->'NewFelicia'->'PortMichaelland'->'Alisonton'->'Shannonbury'->'NewSheryltown'->'LakeJacquelinemouth'->'NorthJamesville'->'SouthDarren'->'Danielsburgh'->'WestNatalie', 19, 5103.057999999999, 53, 43, 3.452830188679245, 0.0003087290006078547, success, 50
UCS, 'Kevinfort'->'Brandonmouth'->'Baileyhaven'->'NewAngelabury'->'NorthJohnstad'->'Vickieview'->'Kylebury'->'NewDonald'->'LakeJacquelinemouth'->'SouthDarren'->'WestNatalie', 10, 2595.2999999999997, 172, 50, 3.44, 0.0020566579996739165, success, 50
Greedy, 'Kevinfort'->'Martinezland'->'EastDanaland'->'Margaretside'->'Baileyhaven'->'NewAngelabury'->'NorthJohnstad'->'Vickieview'->'Kylebury'->'NewDonald'->'NorthJamesville'->'SouthDarren'->'WestNatalie', 12, 3062.525, 18, 17, 3.3333333333333335, 0.0002702570000110427, success, 50
Astar, 'Kevinfort'->'Brandonmouth'->'Baileyhaven'->'NewAngelabury'->'NorthJohnstad'->'Vickieview'->'Kylebury'->'NewDonald'->'LakeJacquelinemouth'->'SouthDarren'->'WestNatalie', 10, 2595.3, 42, 48, 1.8571428571428572, 0.000532729000042309, success, 50
IDAstar, 'Kevinfort'->'Brandonmouth'->'Baileyhaven'->'EastSarahshire'->'Colemanmouth'->'NewSheryltown'->'Alisonton'->'Shannonbury'->'WestNatalie', 8, 2758.0019999999995, 11, 17, 1.0, 0.00880488900020282, success, 50
Backtracking, 'Frederickshire'->'Alyssaton'->'Dicksonstad'->'LakeTina'->'Angelamouth'->'LakeElizabethhaven'->'EastCalvinton'->'EastJoseph'->'SouthDouglas'->'WestRachelton'->'Moodyport'->'Jessicaberg'->'EastBryanmouth'->'Matthewhaven'->'WestKari'->'NorthAshleyshire'->'PortAnnside'->'Garnerberg', 17, 4076.278, 20, 21, 1.0, 0.00017706200014799833, success, 50
BFS, 'Frederickshire'->'Alyssaton'->'SouthChristopherborough'->'Martinborough'->'Moodyport'->'Jessicaberg'->'Garnerberg', 6, 2664.61, 33, 42, 3.757575757575758, 0.0001675850007814006, success, 50
